id,sr_no,hindi,eng
1,1207,अमेठी,Amethi
2,1403,अम्बेडकर नगर,Ambedkar Nagar
3,502,अमरोहा,Amroha
4,1404,अयोध्या,Ayodhya
5,701,अलीगढ़,Aligarh
6,704,आगरा,Agra
7,1701,आज़मगढ़,Azamgarh
8,803,इटावा,Etawah
9,1202,उन्नाव,Unnao
10,707,एटा,Etah
11,804,औरैया,Auraiya
12,802,कन्नौज,Kannauj
13,1603,कुशी नगर,Kushinagar
14,806,कानपुर देहात,Kanpur Dehat
15,805,कानपुर नगर,Kanpur Nagar
16,708,कासगंज,Kasganj
17,1102,कौशाम्बी,Kaushambi
18,403,गाजियाबाद,Ghaziabad
19,1801,गाजीपुर,Ghazipur
20,1304,गोंडा,Gonda
21,1601,गोरखपुर,Gorakhpur
22,404,गौतमबुद्ध नगर,Gautam Buddha Nagar
23,1802,चन्दौली,Chandauli
24,1004,चित्रकूट,Chitrakoot
25,901,जालौन,Jalaun
26,1804,जौनपुर,Jaunpur
27,903,झांसी,Jhanshi
28,1604,देवरिया,Deoria
29,1104,प्रतापगढ़,Pratapgarh
30,1103,प्रयागराज,Prayagraj
31,602,पीलीभीत,Pilibhit
32,1101,फ़तेहपुर,Fatehpur
33,801,फ़र्रुखाबाद,Farrukhabad
34,705,फिरोजाबाद,Firozabad
35,604,बदायूं,Budaun
36,601,बरेली,Bareilly
37,405,बुलंद शहर,Bulandshahr
38,1303,बलरामपुर,Balrampur
39,1703,बलिया,Ballia
40,1501,बस्ती,Basti
41,1301,बहराइच,Bahraich
42,402,बागपत,Baghpat
43,1003,बाँदा,Banda
44,1401,बाराबंकी,Barabanki
45,501,बिजनौर,Bijnor
46,1901,भदोही(संत रविदास नगर),Bhadohi (Sant Ravidas Nagar)
47,1702,मऊ,Mau
48,303,मुज़फ्फरनगर,Mujaffarnagar
49,703,मथुरा,Mathura
50,706,मैनपुरी,Mainpuri
51,401,मेरठ,Meerut
52,503,मुरादाबाद,Moradabad
53,1602,महराजगंज,Maharajganj
54,1001,महोबा,Mahoba
55,1902,मीरजापुर,Mirzapur
56,504,रामपुर,Rampur
57,1201,रायबरेली,Rae bareli
58,1204,लखनऊ,Lucknow
59,1206,लखीमपुर खीरी,Lakhimpur Khiri
60,902,ललितपुर,Lalitpur
61,1803,वाराणसी,Varanasi
62,1302,श्रावस्ती,Shravasti
63,304,शामली,Shamli
64,603,शाहजहाँपुर,Shahjahanpur
65,1503,संत कबीर नगर,Sant Kabeer Nagar
66,505,सम्भल,Sambhal
67,1402,सुलतानपुर,Sultanpur
68,301,सहारनपुर,Saharanpur
69,1502,सिद्धार्थ नगर,Siddharth Nagar
70,1205,सीतापुर,Sitapur
71,1903,सोनभद्र,Sonbhadra
72,1002,हमीरपुर,Hamirpur
73,1203,हरदोई,Hardoi
74,702,हाथरस,Hathras
75,406,हापुड़,Hapur
800,id1,आजमगढ़,Azamgarh
800,id1,फतेहपुर,Fatehpur
800,id1,सुल्तानपुर,Sultanpur
800,id1,महाराजगंज,Maharajganj
800,id1,सिद्धार्थनगर,Siddharth Nagar
800,id1,मिर्जापुर,Mirzapur
800,id1,शाहजहांपुर,Shahjahanpur
800,id1,बुलंदशहर,Bulandshahr
800,id1,फैजाबाद,Faizabad
800,id1,इलाहाबाद,Allahabad
800,id1,अम्बेडकरनगर,Ambedkar Nagar
800,id1,ज्योतिबा फूले नगर,Jyotiba Phule Nagar
800,id1,गौतम बुद्ध नगर,Gautam Buddha Nagar
800,id1,मुज्जफरनगर,Muzzafarnagar
800,id1,गोसाईगंज,Gosaiganj
800,id1,फरुखाबाद,Farrukhabad
800,id1,संत रविदास नगर,Sant Ravidas Nagar
800,id1,कुशीनगर,Kushinagar
800,id1,बांदा,Banda
800,id1,काशीराम नगर,Kashiram Nagar
800,id1,फरुख़ाबाद,Farrukhabad
800,id1,रमाबाई नगर,Ramabai Nagar
800,id1,छत्रपति शाहूजी महाराजनगर,Chhatrapati Shahu Ji Maharaj Nagar
